밀원수종명,주소,경도,위도,화밀량
아까시나무,충청북도 충주시 매남이길 399,128.0033045,36.9182579,57.938
아까시나무,충청북도 충주시 갈치2길 18,127.7466447,37.11946304,38.268
아까시나무,경상북도 칠곡군 신동로7길 14,128.4888867,35.9559973,64.333
아까시나무,충청남도 공주시 불장골길 113-29,127.267287,36.3988241,160.378
아까시나무,충청북도 충주시 지동흑목길 45,128.0402244,37.01090846,191.858
아까시나무,충청북도 충주시 청양새터길 22-15,127.793892,36.96130027,28.907
아까시나무,경상북도 칠곡군 기성9길 49,128.6104717,36.00110123,146.177
아까시나무,경상북도 칠곡군 도개5길 48-11,128.4718944,36.05290855,17.566
아까시나무,경상북도 칠곡군 기성7길 49-5,128.6068856,36.00425122,55.133
아까시나무,경상북도 칠곡군 득명1길 62,128.6112095,36.01157831,43.021
아까시나무,충청북도 충주시 선당길 113-79,127.7114107,36.9886716,22.905
아까시나무,경상북도 칠곡군 남원로3길 5-23,128.5852207,36.0125011,80.359
아까시나무,경상북도 칠곡군 중앙로 217,128.3989589,35.99432867,59.998
아까시나무,충청북도 충주시 우륵로 10-1,127.9188519,36.98027972,38.404
아까시나무,충청북도 충주시 쇠죽골길 103,127.6990482,37.06417689,452.489
아까시나무,경상북도 칠곡군 신동로 78-14,128.4799776,35.95586141,446.114
아까시나무,충청북도 충주시 지등로 1565,128.0377535,36.97039612,178.995
아까시나무,충청북도 충주시 웃말길 24-6,127.8206499,36.9735412,31.892
아까시나무,충청북도 충주시 쇠실로 921,127.8223282,36.96789287,81.76
아까시나무,충청북도 충주시 마치6길 74-2,127.8059261,36.9727646,417.388
아까시나무,충청북도 충주시 부연길 28,127.8403957,36.95460617,81.76
아까시나무,충청북도 충주시 진물길 6-28,127.8138665,36.97547061,19.119
아까시나무,충청북도 충주시 주치길 368-39,127.8615607,37.13494599,144.084
아까시나무,경상북도 칠곡군 군청4길 8-9,128.4019397,35.99799769,59.948
아까시나무,충청북도 충주시 매남이길 117-4,127.9770182,36.90562724,67.538
아까시나무,경상북도 칠곡군 북중리3길 6,128.4080467,36.07602695,403.878
아까시나무,경상북도 칠곡군 석적로 1004,128.3984888,36.07665926,310.955
아까시나무,충청북도 충주시 설운장고개길 33,127.9703913,36.89665251,147.592
아까시나무,충청북도 충주시 장록당우길 81,127.756451,36.99873829,55.324
아까시나무,경상북도 칠곡군 도개7길 33-5,128.4757911,36.049292,776.257
아까시나무,경상북도 칠곡군 심천로 87,128.5063573,35.95655634,107.176
아까시나무,경상북도 칠곡군 중앙로3길 6-6,128.3985223,35.99395182,1298.564
아까시나무,경상북도 칠곡군 득명2길 8,128.6087846,36.01227976,98.419
아까시나무,경상북도 칠곡군 인강8길 36-1,128.3417565,36.07150547,121.45
아까시나무,경상북도 칠곡군 심천로 385-55,128.5142629,35.98199542,115.074
아까시나무,충청북도 충주시 신촌16길 14-3,127.9340268,36.96127455,68.102
아까시나무,충청북도 충주시 부연길 62-7,127.8370821,36.95366677,129.174
아까시나무,전라남도 장흥군 신촌1길 19-23,127.0199586,34.64298456,16.495
아까시나무,충청북도 충주시 남산2길 10,127.9512739,36.96284482,102.469
아까시나무,충청북도 충주시 외동길 217,127.8449663,36.92182621,100.726
아까시나무,경상북도 칠곡군 현대로 95,128.4318231,35.98635049,87.392
아까시나무,경상북도 칠곡군 공단로3길 30,128.4234177,35.96794006,40.735
아까시나무,충청북도 충주시 신양로 90-1,127.79711,36.97264211,28.907
아까시나무,경상북도 칠곡군 호국로 695-1,128.4444082,36.03943497,52.381
아까시나무,경상북도 칠곡군 송산8길 19,128.545998,35.9853617,143.868
아까시나무,충청북도 충주시 새터골뒷길 55,127.7961242,36.96942542,39.029
아까시나무,경상북도 칠곡군 한티로 582,128.5920388,36.00760781,185.19
아까시나무,충청북도 충주시 영죽고개길 138,127.7571609,37.11605384,70.148
아까시나무,충청북도 충주시 청금로 142-15,127.8760448,36.99838098,133.49
아까시나무,충청남도 공주시 번영3로 48-1,127.1358539,36.47102534,70.563
아까시나무,경상북도 칠곡군 금학길 6-15,128.3507489,35.96751878,397.913
